,x,y,r,g,b,h,s,v
0,0,0,225,137,127,0.017006802721088437,0.43555555555555553,225
1,0,1,224,137,127,0.017182130584192434,0.4330357142857143,224
2,0,2,227,134,119,0.02314814814814814,0.47577092511013214,227
3,0,3,227,138,125,0.021241830065359475,0.44933920704845814,227
4,0,4,226,135,122,0.020833333333333332,0.46017699115044247,226
5,0,5,225,134,116,0.027522935779816515,0.48444444444444446,225
6,0,6,222,133,115,0.028037383177570097,0.481981981981982,222
7,0,7,221,134,114,0.031152647975077885,0.4841628959276018,221
8,0,8,223,135,114,0.03211009174311926,0.48878923766816146,223
9,0,9,223,130,103,0.0375,0.5381165919282511,223
10,0,10,220,133,111,0.033639143730886854,0.4954545454545455,220
11,0,11,223,129,106,0.032763532763532756,0.5246636771300448,223
12,0,12,221,128,115,0.02044025157232704,0.4796380090497738,221
13,0,13,222,129,111,0.02702702702702703,0.5,222
14,0,14,225,130,107,0.032485875706214695,0.5244444444444445,225
15,0,15,224,135,117,0.028037383177570097,0.47767857142857145,224
16,0,16,229,140,115,0.036549707602339186,0.4978165938864629,229
17,0,17,231,142,116,0.03768115942028986,0.49783549783549785,231
18,0,18,232,146,118,0.04093567251461988,0.49137931034482757,232
19,0,19,235,152,123,0.0431547619047619,0.4765957446808511,235
20,0,20,234,150,120,0.04385964912280702,0.48717948717948717,234
21,0,21,236,148,118,0.0423728813559322,0.5,236
22,0,22,234,147,119,0.04057971014492754,0.49145299145299143,234
23,0,23,232,134,115,0.027065527065527062,0.5043103448275862,232
24,0,24,225,123,108,0.021367521367521364,0.52,225
25,0,25,213,113,113,0.0,0.4694835680751174,213
26,0,26,196,86,95,0.9863636363636363,0.5612244897959183,196
27,0,27,172,70,88,0.9705882352941176,0.5930232558139535,172
28,0,28,159,61,88,0.9540816326530612,0.6163522012578616,159
29,0,29,155,61,91,0.9468085106382979,0.6064516129032258,155
30,0,30,163,70,89,0.9659498207885304,0.5705521472392638,163
31,0,31,166,71,87,0.9719298245614035,0.572289156626506,166
32,0,32,171,73,91,0.9693877551020408,0.5730994152046783,171
33,0,33,175,72,90,0.970873786407767,0.5885714285714285,175
34,0,34,178,78,90,0.98,0.5617977528089888,178
35,0,35,177,74,85,0.982200647249191,0.5819209039548022,177
36,0,36,175,76,86,0.9831649831649831,0.5657142857142857,175
37,0,37,176,79,90,0.9810996563573883,0.5511363636363636,176
38,0,38,177,75,88,0.9787581699346405,0.576271186440678,177
39,0,39,179,77,88,0.9820261437908497,0.5698324022346368,179
40,0,40,179,77,86,0.9852941176470589,0.5698324022346368,179
41,0,41,178,78,90,0.98,0.5617977528089888,178
42,0,42,176,78,89,0.9812925170068028,0.5568181818181818,176
43,0,43,174,74,83,0.985,0.5747126436781609,174
44,0,44,179,75,84,0.9855769230769231,0.5810055865921788,179
45,0,45,181,82,89,0.9882154882154882,0.5469613259668509,181
46,0,46,187,82,89,0.9888888888888889,0.5614973262032086,187
47,0,47,193,87,90,0.9952830188679245,0.5492227979274611,193
48,0,48,195,84,88,0.993993993993994,0.5692307692307692,195
49,0,49,195,92,91,0.0016025641025640969,0.5333333333333333,195
50,0,50,194,92,91,0.0016181229773462775,0.5309278350515464,194
51,0,51,200,92,90,0.003030303030303031,0.55,200
52,0,52,203,97,93,0.006060606060606062,0.541871921182266,203
53,0,53,201,91,90,0.0015015015015015047,0.5522388059701493,201
54,0,54,204,101,95,0.009174311926605505,0.5343137254901961,204
55,0,55,207,100,96,0.006006006006006,0.5362318840579711,207
56,0,56,205,99,96,0.004587155963302743,0.5317073170731708,205
57,0,57,203,97,100,0.9952830188679245,0.5221674876847291,203
58,0,58,202,102,102,0.0,0.49504950495049505,202
59,0,59,205,105,101,0.006410256410256406,0.5073170731707317,205
60,0,60,205,99,97,0.003086419753086415,0.526829268292683,205
61,0,61,204,99,95,0.0061162079510703364,0.5343137254901961,204
62,0,62,206,96,95,0.0015015015015015047,0.5388349514563107,206
63,0,63,202,99,94,0.007716049382716046,0.5346534653465347,202
64,0,64,203,101,93,0.012121212121212125,0.541871921182266,203
65,0,65,203,99,94,0.007645259938837912,0.5369458128078818,203
66,0,66,203,98,97,0.0015723270440251569,0.5221674876847291,203
67,0,67,206,104,99,0.007788161993769471,0.5194174757281553,206
68,0,68,206,102,100,0.0031446540880503138,0.5145631067961165,206
69,0,69,210,99,94,0.007183908045977017,0.5523809523809524,210
70,0,70,207,103,98,0.007645259938837912,0.5265700483091788,207
71,0,71,208,103,101,0.0031152647975077885,0.5144230769230769,208
72,0,72,210,100,98,0.0029761904761904843,0.5333333333333333,210
73,0,73,211,102,98,0.005899705014749272,0.5355450236966824,211
74,0,74,210,101,100,0.0015151515151515065,0.5238095238095238,210
75,0,75,210,102,98,0.0059523809523809494,0.5333333333333333,210
76,0,76,208,103,101,0.0031152647975077885,0.5144230769230769,208
77,0,77,207,102,97,0.007575757575757569,0.5314009661835749,207
78,0,78,207,100,96,0.006006006006006,0.5362318840579711,207
79,0,79,208,103,100,0.004629629629629632,0.5192307692307693,208
80,0,80,206,105,103,0.003236245954692555,0.5,206
81,0,81,205,101,100,0.0015873015873015817,0.5121951219512195,205
82,0,82,206,103,100,0.004716981132075471,0.5145631067961165,206
83,0,83,207,104,99,0.007716049382716046,0.5217391304347826,207
84,0,84,210,104,98,0.008928571428571433,0.5333333333333333,210
85,0,85,210,105,99,0.009009009009009009,0.5285714285714286,210
86,0,86,206,105,102,0.004807692307692309,0.5048543689320388,206
87,0,87,208,104,103,0.0015873015873015817,0.5048076923076923,208
88,0,88,207,104,102,0.003174603174603182,0.5072463768115942,207
89,0,89,201,106,110,0.9929824561403509,0.472636815920398,201
90,0,90,206,104,107,0.9950980392156863,0.49514563106796117,206
91,0,91,204,104,103,0.0016501650165016517,0.4950980392156863,204
92,0,92,202,101,97,0.006349206349206345,0.5198019801980198,202
93,0,93,201,100,98,0.003236245954692555,0.5124378109452736,201
94,0,94,205,102,92,0.014749262536873161,0.551219512195122,205
95,0,95,206,99,95,0.006006006006006,0.5388349514563107,206
96,0,96,203,100,100,0.0,0.5073891625615764,203
97,0,97,201,105,101,0.006666666666666672,0.4975124378109453,201
98,0,98,204,105,99,0.009523809523809526,0.5147058823529411,204
99,0,99,206,100,99,0.0015576323987538943,0.5194174757281553,206
100,0,100,207,101,97,0.006060606060606062,0.5314009661835749,207
101,0,101,208,99,94,0.00730994152046784,0.5480769230769231,208
102,0,102,209,100,95,0.00730994152046784,0.5454545454545454,209
103,0,103,208,104,99,0.007645259938837912,0.5240384615384616,208
104,0,104,210,101,94,0.010057471264367809,0.5523809523809524,210
105,0,105,208,104,98,0.009090909090909094,0.5288461538461539,208
106,0,106,208,105,97,0.012012012012012019,0.5336538461538461,208
107,0,107,208,101,95,0.008849557522123888,0.5432692307692307,208
108,0,108,206,98,98,0.0,0.5242718446601942,206
109,0,109,206,104,103,0.0016181229773462775,0.5,206
110,0,110,209,111,108,0.004950495049504955,0.48325358851674644,209
111,0,111,205,103,99,0.0062893081761006275,0.5170731707317073,205
112,0,112,202,98,94,0.006172839506172849,0.5346534653465347,202
113,0,113,205,99,98,0.0015576323987538943,0.5219512195121951,205
114,0,114,205,100,96,0.0061162079510703364,0.5317073170731708,205
115,0,115,206,102,101,0.0015873015873015817,0.5097087378640777,206
116,0,116,203,99,95,0.006172839506172849,0.5320197044334976,203
117,0,117,200,99,96,0.004807692307692309,0.52,200
118,0,118,203,98,99,0.9984126984126984,0.5172413793103449,203
119,0,119,204,102,101,0.0016181229773462775,0.5049019607843137,204
120,0,120,202,101,100,0.0016339869281045694,0.504950495049505,202
121,0,121,199,97,94,0.004761904761904763,0.5276381909547738,199
122,0,122,203,101,99,0.0032051282051282124,0.5123152709359606,203
123,0,123,202,98,98,0.0,0.5148514851485149,202
124,0,124,202,99,99,0.0,0.5099009900990099,202
125,0,125,205,97,100,0.9953703703703703,0.526829268292683,205
126,0,126,201,98,98,0.0,0.5124378109452736,201
127,0,127,199,96,99,0.9951456310679612,0.5175879396984925,199
128,0,128,201,95,95,0.0,0.527363184079602,201
129,0,129,201,99,98,0.0016181229773462775,0.5124378109452736,201
130,0,130,194,96,98,0.9965986394557823,0.5051546391752577,194
131,0,131,193,92,100,0.9867986798679869,0.5233160621761658,193
132,0,132,194,89,96,0.9888888888888889,0.5412371134020618,194
133,0,133,187,91,98,0.9878472222222222,0.5133689839572193,187
134,0,134,180,87,94,0.9874551971326164,0.5166666666666667,180
135,0,135,178,85,91,0.989247311827957,0.5224719101123596,178
136,0,136,173,76,86,0.9828178694158076,0.5606936416184971,173
137,0,137,173,72,82,0.9834983498349835,0.5838150289017341,173
138,0,138,187,83,88,0.9919871794871795,0.5561497326203209,187
139,0,139,198,94,91,0.004672897196261683,0.5404040404040404,198
140,0,140,209,108,99,0.013636363636363632,0.5263157894736842,209
141,0,141,212,114,108,0.009615384615384618,0.49056603773584906,212
142,0,142,215,124,112,0.01941747572815533,0.4790697674418605,215
143,0,143,220,128,114,0.022012578616352196,0.4818181818181818,220
144,0,144,221,136,111,0.03787878787878788,0.497737556561086,221
145,0,145,222,138,113,0.03822629969418959,0.49099099099099097,222
146,0,146,219,140,115,0.04006410256410257,0.4748858447488584,219
147,0,147,220,129,108,0.03125,0.509090909090909,220
148,0,148,220,123,104,0.027298850574712652,0.5272727272727272,220
149,0,149,220,127,106,0.030701754385964914,0.5181818181818182,220
150,0,150,220,126,105,0.030434782608695643,0.5227272727272727,220
151,0,151,221,128,110,0.02702702702702703,0.502262443438914,221
152,0,152,220,129,116,0.020833333333333332,0.4727272727272727,220
153,0,153,222,129,111,0.02702702702702703,0.5,222
